JPS Planner
index,plannerTime,plannerDistance
0,0.0100417,36.1708
1,0.0111069,39.3383
2,0.0194497,42.1701
3,0.0225303,41.6342
4,0.0121264,39.2419
5,0.0203276,40.8523
6,0.0113447,39.0492
7,0.0119813,37.2419
8,0.020203,40.5099
9,0.00807355,42.5099
